step,auc,balanced_accuracy
1000.0,0.8760245901639343,0.8949795081967213
2000.0,0.8760245901639343,0.8949795081967213
3000.0,0.8760245901639343,0.8949795081967213
4000.0,0.8765368852459016,0.8949795081967213
5000.0,0.8785860655737704,0.8949795081967213
6000.0,0.8801229508196722,0.9031762295081966
7000.0,0.8780737704918031,0.8875512295081966
8000.0,0.8790983606557375,0.8875512295081966
9000.0,0.875,0.8785860655737705
10000.0,0.8714139344262295,0.8785860655737705
11000.0,0.8673155737704917,0.8703893442622951
12000.0,0.8632172131147541,0.8703893442622951
13000.0,0.8565573770491804,0.8703893442622951
14000.0,0.8529713114754098,0.8785860655737705
15000.0,0.8437499999999999,0.8688524590163935
16000.0,0.822233606557377,0.8688524590163935
17000.0,0.8155737704918034,0.860655737704918
18000.0,0.8145491803278688,0.8442622950819672
19000.0,0.8247950819672132,0.8442622950819672
20000.0,0.8381147540983607,0.845030737704918
21000.0,0.8575819672131146,0.8532274590163935
22000.0,0.877561475409836,0.8711577868852459
23000.0,0.8924180327868853,0.8949795081967213
24000.0,0.8985655737704918,0.9106045081967213
25000.0,0.9093237704918032,0.9106045081967213
26000.0,0.9139344262295082,0.8801229508196722
27000.0,0.9180327868852458,0.8711577868852459
28000.0,0.9129098360655737,0.8770491803278688
29000.0,0.8934426229508197,0.8770491803278688
30000.0,0.8816598360655737,0.8688524590163935
31000.0,0.860655737704918,0.8696209016393442
32000.0,0.8627049180327869,0.8703893442622951
33000.0,0.8509221311475409,0.8376024590163935
34000.0,0.8299180327868853,0.7973872950819672
35000.0,0.7945696721311475,0.757172131147541
36000.0,0.7520491803278688,0.7482069672131147
37000.0,0.7725409836065574,0.741547131147541
38000.0,0.7843237704918034,0.720030737704918
39000.0,0.7786885245901639,0.7169569672131147
40000.0,0.8032786885245902,0.741547131147541
41000.0,0.8314549180327868,0.766905737704918
42000.0,0.8621926229508197,0.8071209016393442
43000.0,0.9011270491803278,0.8719262295081966
44000.0,0.9052254098360656,0.880891393442623
45000.0,0.894467213114754,0.8422131147540983
46000.0,0.8765368852459017,0.8250512295081966
47000.0,0.858094262295082,0.787141393442623
48000.0,0.8253073770491803,0.7617827868852459
49000.0,0.768954918032787,0.7289959016393442
50000.0,0.740266393442623,0.704405737704918
51000.0,0.7325819672131147,0.6962090163934427
52000.0,0.7479508196721312,0.7036372950819672
53000.0,0.7725409836065573,0.7251536885245902
54000.0,0.7940573770491802,0.7646004098360656
55000.0,0.8145491803278688,0.7430840163934427
56000.0,0.8263319672131147,0.7699795081967213
57000.0,0.8186475409836066,0.7692110655737705
58000.0,0.8078893442622951,0.7751024590163935
59000.0,0.8094262295081968,0.766905737704918
60000.0,0.8145491803278688,0.7840676229508197
61000.0,0.8150614754098361,0.7996926229508197
62000.0,0.807889344262295,0.7587090163934427
63000.0,0.8037909836065573,0.7602459016393442
64000.0,0.8155737704918032,0.7899590163934427
65000.0,0.7986680327868853,0.757172131147541
66000.0,0.7751024590163934,0.7266905737704918
67000.0,0.7540983606557377,0.7146516393442623
68000.0,0.7484631147540984,0.710297131147541
69000.0,0.7679303278688524,0.7364241803278688
70000.0,0.7674180327868854,0.7407786885245902
71000.0,0.7776639344262296,0.7497438524590163
72000.0,0.7822745901639345,0.7520491803278688
73000.0,0.7925204918032787,0.7774077868852459
74000.0,0.7920081967213115,0.7840676229508197
75000.0,0.7966188524590165,0.7856045081967213
76000.0,0.7930327868852459,0.7528176229508197
77000.0,0.7751024590163934,0.7297643442622951
78000.0,0.7602459016393442,0.7289959016393442
79000.0,0.7587090163934426,0.735655737704918
80000.0,0.7505122950819672,0.7520491803278688
81000.0,0.7412909836065573,0.7364241803278688
82000.0,0.7377049180327869,0.7364241803278688
83000.0,0.7443647540983606,0.7289959016393442
84000.0,0.7366803278688525,0.7289959016393442
85000.0,0.725922131147541,0.7110655737704918
86000.0,0.7120901639344263,0.710297131147541
87000.0,0.7028688524590164,0.7028688524590163
88000.0,0.6793032786885246,0.694672131147541
89000.0,0.6787909836065573,0.6782786885245902
90000.0,0.6731557377049181,0.6782786885245902
91000.0,0.6890368852459016,0.679047131147541
92000.0,0.7023565573770492,0.6864754098360656
93000.0,0.6982581967213114,0.688780737704918
94000.0,0.7033811475409837,0.6805840163934427
95000.0,0.6982581967213115,0.6813524590163935
96000.0,0.6793032786885246,0.6677766393442623
97000.0,0.6875,0.6915983606557377
98000.0,0.6931352459016393,0.6759733606557377
99000.0,0.6905737704918032,0.6759733606557377
100000.0,0.6864754098360656,0.694672131147541
101000.0,0.662141393442623,0.6923668032786885
102000.0,0.6593237704918032,0.7087602459016393
103000.0,0.6577868852459016,0.7169569672131147
104000.0,0.6623975409836065,0.7333504098360656
105000.0,0.6757172131147541,0.7333504098360656
106000.0,0.7197745901639343,0.7333504098360656
107000.0,0.7443647540983607,0.766905737704918
108000.0,0.7607581967213114,0.7758709016393442
109000.0,0.7715163934426229,0.7914959016393442
110000.0,0.7715163934426229,0.8078893442622951
111000.0,0.7689549180327868,0.8071209016393442
112000.0,0.7648565573770492,0.8071209016393442
113000.0,0.7576844262295082,0.7989241803278688
114000.0,0.7546106557377048,0.798155737704918
115000.0,0.7489754098360656,0.7817622950819672
116000.0,0.7412909836065573,0.7661372950819672
117000.0,0.7310450819672132,0.7661372950819672
118000.0,0.7274590163934426,0.7489754098360656
119000.0,0.7382172131147542,0.7653688524590163
120000.0,0.7438524590163934,0.7653688524590163
121000.0,0.7520491803278688,0.7587090163934427
122000.0,0.7556352459016392,0.757172131147541
