step,auc,balanced_accuracy
1000.0,0.2579365079365079,0.5
2000.0,0.25476190476190474,0.5
3000.0,0.25873015873015875,0.5
4000.0,0.26746031746031745,0.5
5000.0,0.27777777777777773,0.5
6000.0,0.3,0.5079365079365079
7000.0,0.3285714285714286,0.5079365079365079
8000.0,0.3547619047619048,0.5079365079365079
9000.0,0.39603174603174607,0.5317460317460317
10000.0,0.45238095238095233,0.594047619047619
11000.0,0.5142857142857142,0.6178571428571429
12000.0,0.584126984126984,0.6551587301587302
13000.0,0.6174603174603175,0.6972222222222222
14000.0,0.6341269841269841,0.6880952380952381
15000.0,0.6388888888888888,0.6551587301587302
16000.0,0.6515873015873016,0.653968253968254
17000.0,0.6690476190476191,0.6607142857142857
18000.0,0.692063492063492,0.671031746031746
19000.0,0.6984126984126984,0.6876984126984127
20000.0,0.6761904761904761,0.655952380952381
21000.0,0.6658730158730158,0.6321428571428571
22000.0,0.6452380952380953,0.6301587301587301
23000.0,0.6246031746031746,0.6404761904761904
24000.0,0.5753968253968254,0.6416666666666666
25000.0,0.5103174603174604,0.6007936507936508
26000.0,0.4507936507936508,0.5555555555555556
27000.0,0.4095238095238095,0.5476190476190477
28000.0,0.3888888888888889,0.5091269841269841
29000.0,0.38015873015873014,0.517063492063492
30000.0,0.3761904761904762,0.5023809523809524
31000.0,0.3682539682539682,0.5123015873015873
32000.0,0.3547619047619047,0.5134920634920634
33000.0,0.3571428571428571,0.5317460317460317
34000.0,0.37142857142857144,0.5396825396825397
35000.0,0.3849206349206349,0.5396825396825397
36000.0,0.40079365079365076,0.5623015873015873
37000.0,0.4333333333333333,0.569047619047619
38000.0,0.4531746031746031,0.5928571428571429
39000.0,0.46746031746031735,0.5825396825396826
40000.0,0.48571428571428565,0.5634920634920635
41000.0,0.5214285714285714,0.5769841269841269
42000.0,0.5349206349206349,0.584920634920635
43000.0,0.5333333333333333,0.5873015873015873
44000.0,0.5277777777777778,0.601984126984127
45000.0,0.5373015873015872,0.601984126984127
46000.0,0.5547619047619048,0.6031746031746031
47000.0,0.5523809523809524,0.6031746031746031
48000.0,0.5611111111111111,0.5972222222222222
49000.0,0.5746031746031746,0.6051587301587301
50000.0,0.6063492063492063,0.628968253968254
51000.0,0.6269841269841269,0.6448412698412698
52000.0,0.6198412698412699,0.628968253968254
53000.0,0.6444444444444445,0.640079365079365
54000.0,0.6571428571428571,0.663888888888889
55000.0,0.6619047619047619,0.6718253968253969
56000.0,0.6698412698412698,0.6718253968253969
57000.0,0.6666666666666666,0.6718253968253969
58000.0,0.6698412698412698,0.655952380952381
59000.0,0.6690476190476191,0.6547619047619048
60000.0,0.6801587301587302,0.6547619047619048
61000.0,0.6841269841269841,0.648015873015873
62000.0,0.6968253968253968,0.680952380952381
63000.0,0.7119047619047619,0.6968253968253968
64000.0,0.7253968253968255,0.723015873015873
65000.0,0.7238095238095238,0.7218253968253968
66000.0,0.7341269841269842,0.7297619047619048
67000.0,0.7412698412698413,0.748015873015873
68000.0,0.7404761904761905,0.7400793650793651
69000.0,0.7357142857142858,0.715079365079365
70000.0,0.7476190476190476,0.7174603174603175
71000.0,0.7428571428571428,0.715079365079365
72000.0,0.7396825396825397,0.7047619047619047
73000.0,0.7436507936507937,0.7047619047619047
74000.0,0.7468253968253968,0.7126984126984126
75000.0,0.7515873015873016,0.7206349206349206
76000.0,0.7579365079365079,0.7115079365079365
77000.0,0.7619047619047619,0.7261904761904762
78000.0,0.7634920634920634,0.7253968253968255
79000.0,0.7626984126984128,0.7253968253968255
80000.0,0.7547619047619047,0.7194444444444444
81000.0,0.7492063492063492,0.7162698412698413
82000.0,0.7492063492063492,0.7162698412698413
83000.0,0.7523809523809524,0.7321428571428572
84000.0,0.7531746031746032,0.715079365079365
85000.0,0.7587301587301587,0.723015873015873
86000.0,0.7666666666666666,0.7309523809523809
87000.0,0.7674603174603175,0.715079365079365
88000.0,0.7619047619047619,0.7174603174603175
89000.0,0.7626984126984128,0.7333333333333334
90000.0,0.7626984126984127,0.7242063492063492
91000.0,0.7698412698412699,0.7388888888888889
92000.0,0.7722222222222223,0.7388888888888889
93000.0,0.773015873015873,0.7273809523809525
94000.0,0.7698412698412698,0.7285714285714285
95000.0,0.7666666666666667,0.7309523809523809
96000.0,0.7738095238095238,0.7706349206349206
97000.0,0.7722222222222223,0.7706349206349206
98000.0,0.7698412698412698,0.7626984126984127
99000.0,0.7746031746031746,0.7638888888888888
100000.0,0.7722222222222221,0.7468253968253968
101000.0,0.769047619047619,0.7400793650793651
102000.0,0.7753968253968254,0.7559523809523809
103000.0,0.776984126984127,0.748015873015873
104000.0,0.7738095238095238,0.7412698412698413
105000.0,0.7746031746031745,0.7492063492063492
106000.0,0.7706349206349207,0.7424603174603175
107000.0,0.7658730158730158,0.7253968253968255
108000.0,0.7634920634920634,0.7333333333333334
109000.0,0.7658730158730158,0.7333333333333334
110000.0,0.7666666666666667,0.7492063492063492
111000.0,0.7714285714285714,0.7412698412698413
112000.0,0.7793650793650794,0.7492063492063492
113000.0,0.7817460317460317,0.7333333333333334
114000.0,0.7888888888888889,0.7400793650793651
115000.0,0.7873015873015873,0.7321428571428572
116000.0,0.7817460317460317,0.7273809523809525
117000.0,0.7841269841269841,0.7273809523809525
118000.0,0.7833333333333333,0.7297619047619048
119000.0,0.7825396825396825,0.7285714285714285
120000.0,0.7857142857142857,0.7285714285714285
121000.0,0.7936507936507936,0.7468253968253968
122000.0,0.7904761904761906,0.7388888888888889
123000.0,0.7984126984126985,0.7662698412698412
