step,auc,balanced_accuracy
1000.0,0.9756521739130435,0.9491304347826087
2000.0,0.9756521739130435,0.9491304347826087
3000.0,0.9756521739130435,0.9491304347826087
4000.0,0.9739130434782609,0.9491304347826087
5000.0,0.9739130434782609,0.9491304347826087
6000.0,0.9756521739130435,0.9491304347826087
7000.0,0.9721739130434783,0.9491304347826087
8000.0,0.9704347826086956,0.9491304347826087
9000.0,0.9634782608695652,0.9273913043478261
10000.0,0.951304347826087,0.9273913043478261
11000.0,0.9443478260869566,0.9347826086956521
12000.0,0.9147826086956521,0.8621739130434782
13000.0,0.848695652173913,0.811304347826087
14000.0,0.7652173913043477,0.7569565217391304
15000.0,0.6939130434782608,0.7026086956521739
16000.0,0.6669565217391303,0.6552173913043478
17000.0,0.6756521739130436,0.6699999999999999
18000.0,0.6930434782608695,0.6808695652173913
19000.0,0.6982608695652174,0.6917391304347826
20000.0,0.6817391304347827,0.7026086956521739
21000.0,0.677391304347826,0.6808695652173913
22000.0,0.6634782608695653,0.6591304347826087
23000.0,0.6356521739130434,0.6482608695652173
24000.0,0.5643478260869565,0.6086956521739131
25000.0,0.5330434782608695,0.6195652173913043
26000.0,0.562608695652174,0.6304347826086957
27000.0,0.6434782608695653,0.71
28000.0,0.6304347826086957,0.7134782608695652
29000.0,0.6165217391304347,0.6699999999999999
30000.0,0.5678260869565217,0.6304347826086957
31000.0,0.5130434782608696,0.6739130434782609
32000.0,0.5008695652173913,0.6630434782608696
33000.0,0.5008695652173913,0.6521739130434783
34000.0,0.54,0.6121739130434782
35000.0,0.47304347826086957,0.5869565217391304
36000.0,0.4139130434782609,0.5869565217391304
37000.0,0.37826086956521743,0.5978260869565217
38000.0,0.3730434782608696,0.6195652173913043
39000.0,0.44,0.6339130434782609
40000.0,0.5339130434782609,0.6882608695652174
41000.0,0.5973913043478261,0.6847826086956521
42000.0,0.6643478260869564,0.71
43000.0,0.6982608695652175,0.7352173913043478
44000.0,0.7330434782608696,0.75
45000.0,0.7504347826086957,0.7569565217391304
46000.0,0.7434782608695651,0.7530434782608695
47000.0,0.7426086956521738,0.731304347826087
48000.0,0.7226086956521739,0.7391304347826086
49000.0,0.722608695652174,0.7391304347826086
50000.0,0.7139130434782608,0.75
51000.0,0.7043478260869565,0.7717391304347826
52000.0,0.7052173913043478,0.7717391304347826
53000.0,0.7095652173913043,0.7534782608695653
54000.0,0.7052173913043478,0.7282608695652174
55000.0,0.731304347826087,0.7678260869565217
56000.0,0.7330434782608697,0.771304347826087
57000.0,0.7260869565217392,0.7604347826086957
58000.0,0.7469565217391305,0.771304347826087
59000.0,0.7460869565217392,0.7421739130434782
60000.0,0.7582608695652173,0.771304347826087
61000.0,0.7669565217391304,0.8004347826086957
62000.0,0.7521739130434782,0.8004347826086957
63000.0,0.7234782608695652,0.7460869565217392
64000.0,0.7034782608695652,0.7421739130434782
65000.0,0.702608695652174,0.731304347826087
66000.0,0.7304347826086957,0.731304347826087
67000.0,0.7391304347826086,0.731304347826087
68000.0,0.74,0.7495652173913043
69000.0,0.7399999999999999,0.738695652173913
70000.0,0.7365217391304347,0.771304347826087
71000.0,0.74,0.771304347826087
72000.0,0.731304347826087,0.738695652173913
73000.0,0.7130434782608694,0.7169565217391305
74000.0,0.7008695652173913,0.7060869565217391
75000.0,0.6730434782608696,0.6917391304347826
76000.0,0.6695652173913044,0.6808695652173913
77000.0,0.6721739130434783,0.7060869565217391
78000.0,0.682608695652174,0.7169565217391305
79000.0,0.7156521739130435,0.7169565217391305
80000.0,0.7382608695652174,0.7678260869565217
81000.0,0.7765217391304348,0.8039130434782609
82000.0,0.7939130434782607,0.8439130434782609
83000.0,0.8121739130434782,0.8765217391304347
84000.0,0.8191304347826087,0.8656521739130434
85000.0,0.8234782608695651,0.8765217391304347
86000.0,0.8339130434782609,0.8547826086956521
87000.0,0.8408695652173913,0.8547826086956521
88000.0,0.8565217391304347,0.8656521739130434
89000.0,0.8721739130434782,0.8656521739130434
90000.0,0.9052173913043479,0.8873913043478261
91000.0,0.9304347826086956,0.8873913043478261
92000.0,0.9547826086956522,0.8873913043478261
93000.0,0.9739130434782609,0.9091304347826087
94000.0,0.9826086956521739,0.9382608695652175
95000.0,0.9878260869565217,0.96
96000.0,0.991304347826087,0.96
97000.0,0.9930434782608695,0.96
98000.0,0.9930434782608695,0.96
99000.0,0.9930434782608696,0.96
100000.0,0.9878260869565217,0.96
101000.0,0.986086956521739,0.9491304347826087
102000.0,0.977391304347826,0.9273913043478261
103000.0,0.9773913043478261,0.9199999999999999
104000.0,0.977391304347826,0.9273913043478261
105000.0,0.9791304347826087,0.9273913043478261
106000.0,0.9704347826086956,0.9199999999999999
107000.0,0.9704347826086956,0.9199999999999999
108000.0,0.9652173913043478,0.9199999999999999
109000.0,0.9565217391304348,0.8982608695652174
110000.0,0.9495652173913043,0.8873913043478261
111000.0,0.9547826086956522,0.8913043478260869
112000.0,0.9530434782608695,0.9130434782608696
113000.0,0.9547826086956521,0.9130434782608696
114000.0,0.951304347826087,0.9056521739130434
115000.0,0.9547826086956521,0.9130434782608696
116000.0,0.9565217391304348,0.9239130434782609
117000.0,0.9582608695652174,0.9239130434782609
118000.0,0.9530434782608695,0.9130434782608696
119000.0,0.9521739130434782,0.9239130434782609
120000.0,0.9608695652173913,0.9347826086956521
121000.0,0.9591304347826087,0.9347826086956521
122000.0,0.9608695652173914,0.9239130434782609
123000.0,0.9678260869565217,0.9347826086956521
124000.0,0.9660869565217391,0.9239130434782609
125000.0,0.9678260869565218,0.9239130434782609
126000.0,0.9669565217391305,0.9021739130434783
127000.0,0.9669565217391305,0.8982608695652174
128000.0,0.9686956521739131,0.9056521739130434
129000.0,0.9739130434782609,0.9130434782608696
130000.0,0.9721739130434783,0.9130434782608696
131000.0,0.9652173913043479,0.9091304347826087
132000.0,0.9600000000000001,0.9091304347826087
133000.0,0.9582608695652174,0.8982608695652174
134000.0,0.9547826086956522,0.8982608695652174
135000.0,0.9452173913043479,0.8982608695652174
